Vertex              Tree      Parent              
12345107968         3         12435107968         
12345107968         4         12354107968         
12345107968         5         12341057968         
12345107968         6         12345107986         
12345107968         7         12345109768         
12345107968         8         12345710968         
12345107968         9         12345107698         
12345107986         1         21345107986         
12345107986         2         13245107986         
12345107986         3         12435107986         
12345107986         4         12354107986         
12345107986         5         12341057986         
12345107986         6         12345710986         
12345107986         7         12345109786         
12345107986         8         12345107968         
12345107986         9         12345107896         
12345108679         1         21345108679         
12345108679         2         13245108679         
12345108679         3         12435108679         
12345108679         4         12354108679         
12345108679         5         12341058679         
12345108679         6         12345108769         
12345108679         7         12345108697         
12345108679         8         12345106879         
12345108679         9         12345810679         
12345108697         1         21345108697         
12345108697         2         13245108697         
12345108697         3         12435108697         
12345108697         4         12354108697         
12345108697         5         12341058697         
12345108697         6         12345108967         
12345108697         7         12345810697         
12345108697         8         12345106897         
12345108697         9         12345108679         
12345108769         1         21345108769         
12345108769         2         13245108769         
12345108769         3         12435108769         
12345108769         4         12354108769         
12345108769         5         12341058769         
12345108769         6         12345108796         
12345108769         7         12345108679         
12345108769         8         12345107869         
12345108769         9         12345810769         
12345108796         1         21345108796         
12345108796         2         13245108796         
12345108796         3         12435108796         
12345108796         4         12354108796         
12345108796         5         12341058796         
12345108796         6         12345810796         
12345108796         7         12345108976         
12345108796         8         12345107896         
12345108796         9         12345108769         
12345108967         1         21345108967         
12345108967         2         13245108967         
12345108967         3         12435108967         
12345108967         4         12354108967         
12345108967         5         12341058967         
12345108967         6         12345108976         
12345108967         7         12345810967         
12345108967         8         12345109867         
12345108967         9         12345108697         
12345108976         1         21345108976         
12345108976         2         13245108976         
12345108976         3         12435108976         
12345108976         4         12354108976         
12345108976         5         12341058976         
12345108976         6         12345810976         
12345108976         7         12345108967         
12345108976         8         12345109876         
12345108976         9         12345108796         
12345109678         1         21345109678         
12345109678         2         13245109678         
12345109678         3         12435109678         
12345109678         4         12354109678         
12345109678         5         12341059678         
12345109678         6         12345109768         
12345109678         7         12345109687         
12345109678         8         12345910678         
12345109678         9         12345106978         
12345109687         1         21345109687         
12345109687         2         13245109687         
12345109687         3         12435109687         
12345109687         4         12354109687         
12345109687         5         12341059687         
12345109687         6         12345109867         
12345109687         7         12345910687         
12345109687         8         12345109678         
12345109687         9         12345106987         
12345109768         1         21345109768         
12345109768         2         13245109768         
12345109768         3         12435109768         
12345109768         4         12354109768         
12345109768         5         12341059768         
12345109768         6         12345109786         
12345109768         7         12345109678         
12345109768         8         12345910768         
12345109768         9         12345107968         
12345109786         1         21345109786         
12345109786         2         13245109786         
12345109786         3         12435109786         
12345109786         4         12354109786         
12345109786         5         12341059786         
12345109786         6         12345910786         
12345109786         7         12345109876         
12345109786         8         12345109768         
12345109786         9         12345107986         
12345109867         1         21345109867         
12345109867         2         13245109867         
12345109867         3         12435109867         
12345109867         4         12354109867         
12345109867         5         12341059867         
12345109867         6         12345109876         
12345109867         7         12345910867         
12345109867         8         12345109687         
12345109867         9         12345108967         
